"","bias","mse","rmse","mae","rrmse","rmae","ef","r","r2","d","a","b","model"
"1",0.014822244826087,0.000977284940693953,0.031261556914107,0.0223557234891304,0.104861128457564,0.0789353959288973,0.258638515925703,0.735752736988482,0.541332089986043,0.828143588849544,0.0768454883139905,0.791954465972074,"p_swc10"
"2",0.0545596741467391,0.00357292706691988,0.0597739664646732,0.056085150798913,0.198373209793224,0.189283534818673,-3.19858859635624,0.714454918098781,0.510445829995536,0.534627200720489,0.103181571832811,0.838637412226536,"p_swc20"
"3",0.0166873267065217,0.000933978669198429,0.0305610645953054,0.0253128242826087,0.0909606519708647,0.076756314414266,-0.122483285579546,0.708331160160767,0.501733032454698,0.778945181053967,0.0560365288208251,0.882882709544084,"p_swc30"
"4",0.0272170073641304,0.00111682052891034,0.0334188648656764,0.0291915766467391,0.0882991556080732,0.0789021801817473,-0.841200492747932,0.65667149393349,0.431217450944842,0.633626945308676,0.186257585655518,0.57978378897685,"p_swc60"
"5",0.0283215632608696,0.00165025280143065,0.0406233036745,0.0332363188043478,0.123672575196329,0.105969356335896,0.15615982659082,0.797236643547391,0.63558626581471,0.814385149429501,0.0790971017810035,0.845420213577875,"p_swc"
"6",-0.9885536159601,2.540763840399,1.59397736508365,1.25428927680798,0.447545808289135,0.377276638534932,-0.172422674765344,0.60375533330187,0.364520502490452,0.691916152876297,0.644160794194278,0.541577875317249,"p_atm"
"7",-1.35397754384616,427.723862017727,20.681485972186,17.1135453830769,0.255580211215809,0.425318538216092,0.808635972211143,0.913607210449617,0.834678134985531,0.953725516675086,0.282869544206931,0.979771969719429,"p_sfm"
"8",-2.28618907411905,26.0858290867157,5.1074288136709,3.47634408645238,0.411960658395854,0.440995840381024,0.721350623872314,0.889166268031925,0.790616652205821,0.909422596675784,1.58746003384885,0.687554913611021,"p_sdm"
"9",-0.793521363571429,1.39333333545435,1.18039541487349,0.998806998485714,0.37742201496125,0.349728754162822,0.226530099094104,0.759226772274511,0.576425291738372,0.785129304231456,0.486912627199114,0.590591448651731,"p_lai"
"10",0.606428774079365,9.82115734342605,3.13387257932196,2.5795075241746,0.226338538438197,0.186047251843386,0.632493528530371,0.80461777662954,0.647409766468265,0.873572687320715,5.86697324827506,0.620066254277574,"p_til"
"11",-0.960301098037037,4.8588043552327,2.20426957408405,1.93556825507407,0.255816707362199,0.250214444563271,0.115384762499567,0.686852028753171,0.471765709402347,0.553109784330516,6.16071556475212,0.173569758815438,"p_pol"
"12",-1.413187203,6.56303199832653,2.56184152482673,1.8271547158,0.516085441009693,0.362666850215904,-3.44333438144096,0.0309398984628776,0.000957277316893175,0.372257324784663,3.32389524826294,0.0457101806386471,"p_dgl"
"13",-0.481815562,0.368667713259148,0.607180132464121,0.491815562,0.490388391672389,0.581238035112141,0.549676302371608,0.916824226605976,0.840566662491646,0.876739329104221,-0.18724789197542,0.762092732916335,"p_sth"
