Trench,Depth,Rep,theta,SF
A,5,3,30,0.752537233
A,5,1,32.6,0.784099244
A,5,2,35.1,0.821664871
A,15,1,34.2,0.802898803
A,15,3,35.1,0.8048962
A,15,2,36.7,0.805699708
A,30,3,37.2,0.862885238
A,30,2,37.7,0.903348743
A,30,1,37.7,0.851232469
A,60,3,37.8,0.878441303
A,60,1,38.1,0.881884292
A,60,2,38.5,0.912784241
A,100,1,40.4,0.889865381
A,100,2,40.5,0.854956817
A,100,3,41.7,0.876535219
B,5,3,34.8,0.884974228
B,5,2,35.3,0.815569446
B,5,1,36.7,0.857127349
B,15,1,33.7,0.788854863
B,15,3,34.9,0.869509792
B,15,2,36,0.81504
B,30,3,39.2,0.841261715
B,30,2,39.7,0.873288882
B,30,1,40.2,0.860782636
B,60,1,38.4,0.867782787
B,60,3,39.2,0.832406328
B,60,2,40.5,0.899954544
B,100,3,37.4,0.83057045
B,100,2,37.8,0.869743864
B,100,1,38.1,0.943004985
C,5,1,31.6,0.732314739
C,5,2,31.8,0.766541608
C,5,3,32.7,0.712425818
C,15,1,33.6,0.804106756
C,15,2,33.7,0.895678959
C,15,3,35.8,0.821263514
C,30,1,35.9,0.932615774
C,30,3,36.2,0.8343035
C,30,2,37.2,0.845627533
C,60,2,38.9,0.820425636
C,60,1,39.8,0.936832445
C,60,3,40.4,0.889865381
C,100,1,38.4,0.797658925
C,100,3,39.7,0.882199993
C,100,2,40.4,0.835934146
D,5,3,30.1,0.784859422
D,5,1,34.2,0.769789574
D,5,2,34.3,0.812348289
D,15,1,35,0.904231263
D,15,3,36.6,0.933008471
D,15,2,37.4,0.917088205
D,30,1,36.4,0.828044162
D,30,2,37,0.851980887
D,30,3,38.1,0.785837488
D,60,1,38.9,0.899821665
D,60,3,39.9,0.87546365
D,60,2,40.1,0.850766659
