tube,prof,prof_ref,trench,diviner_owner,theta_MVG,SF,type
60,20,15,3,Folegatti,23.84132342,0.749813933,min
61,20,15,3,Folegatti,23.60038145,0.69900383,min
62,20,15,3,Folegatti,21.43304466,0.737792,min
63,20,15,3,Folegatti,22.87812243,0.752634,min
66,20,15,3,Folegatti,23.84120001,0.731375,min
67,20,15,3,Folegatti,24.08216538,0.656412727,min
68,20,15,3,Folegatti,24.80461843,0.690282,min
69,20,15,3,Folegatti,20.95148478,0.751235,min
70,20,15,1,Folegatti,23.84130741,0.7694621,min
71,20,15,1,Folegatti,23.35962075,0.782688,min
72,20,15,1,Folegatti,23.60050736,0.774340405,min
73,20,15,4,Folegatti,22.63716676,0.758286,min
74,20,15,4,Folegatti,20.95138843,0.727096,min
76,20,15,4,Folegatti,20.71114318,0.679322,min
77,20,15,4,Folegatti,23.11909488,0.698284,min
80,20,15,4,Folegatti,22.395668,0.780592831,min
81,20,15,4,Folegatti,24.5637693,0.776429,min
82,20,15,4,Folegatti,24.08206509,0.728523,min
83,20,15,4,Folegatti,24.80460905,0.656425,min
84,20,15,4,Folegatti,24.08222745,0.64301,min
86,20,15,4,Folegatti,21.67382676,0.813571281,min
87,20,15,4,Folegatti,22.87807554,0.718896183,min
88,20,15,4,Folegatti,23.118782,0.652702,min
89,20,15,2,Folegatti,23.359569,0.645981612,min
90,20,15,2,Folegatti,20.22903637,0.675628457,min
91,20,15,2,Folegatti,23.11901223,0.722818,min
60,20,15,3,GEPEMA,24.08253192,0.663817217,min
61,20,15,3,GEPEMA,22.87723961,0.614490835,min
63,20,15,3,GEPEMA,22.63738802,0.721077343,min
66,20,15,3,GEPEMA,23.84132157,0.679706717,min
67,20,15,3,GEPEMA,22.87787706,0.49791611,min
68,20,15,3,GEPEMA,22.87817653,0.648379614,min
69,20,15,3,GEPEMA,22.63724831,0.676054523,min
70,20,15,1,GEPEMA,23.60032682,0.669948409,min
71,20,15,1,GEPEMA,23.60058344,0.71693213,min
72,20,15,1,GEPEMA,23.35987453,0.715745939,min
73,20,15,4,GEPEMA,23.60045475,0.711585876,min
76,20,15,4,GEPEMA,22.15553356,0.531732989,min
77,20,15,4,GEPEMA,25.04543044,0.669335983,min
80,20,15,4,GEPEMA,22.3963562,0.699035454,min
81,20,15,4,GEPEMA,22.63715032,0.661972648,min
82,20,15,4,GEPEMA,21.67408929,0.715152145,min
83,20,15,4,GEPEMA,24.32297038,0.632156687,min
84,20,15,4,GEPEMA,23.60047846,0.668724132,min
86,20,15,4,GEPEMA,24.08256239,0.74396155,min
87,20,15,4,GEPEMA,22.63716344,0.652099089,min
88,20,15,4,GEPEMA,22.87831064,0.677288771,min
89,20,15,2,GEPEMA,23.84183034,0.594692816,min
90,20,15,2,GEPEMA,25.28619403,0.66719767,min
91,20,15,2,GEPEMA,23.8413438,0.677881709,min
91,60,60,2,GEPEMA,43.27248108,0.834288215,max
60,60,60,3,Folegatti,42.84048543,0.97100967,max
61,60,60,3,Folegatti,42.84355322,0.98398475,max
62,60,60,3,Folegatti,41.13025545,0.960571468,max
63,60,60,3,Folegatti,41.98713744,1.02228427,max
66,60,60,3,Folegatti,41.55894782,1.01597346,max
67,60,60,3,Folegatti,41.98588775,0.929543878,max
68,60,60,3,Folegatti,41.13041244,1.007057341,max
69,60,60,3,Folegatti,42.84430238,0.983324376,max
70,60,60,1,Folegatti,43.27174759,0.93820434,max
71,60,60,1,Folegatti,42.41560192,0.94810573,max
72,60,60,1,Folegatti,42.84250592,1.06716652,max
73,60,60,4,Folegatti,42.4151664,1.02859508,max
74,60,60,4,Folegatti,39.84465911,1.01279076,max
76,60,60,4,Folegatti,43.271779,0.96450848,max
77,60,60,4,Folegatti,39.41448673,0.90202662,max
80,60,60,4,Folegatti,42.84394404,1.00898285,max
81,60,60,4,Folegatti,42.41552809,0.86995551,max
82,60,60,4,Folegatti,40.27338512,1.005782909,max
83,60,60,4,Folegatti,42.84400739,0.939505961,max
84,60,60,4,Folegatti,39.41299625,0.96973058,max
86,60,60,4,Folegatti,43.27229129,0.96385546,max
87,60,60,4,Folegatti,41.13027825,0.93287306,max
88,60,60,4,Folegatti,41.12669661,0.97231485,max
89,60,60,2,Folegatti,42.41547526,1.01469523,max
90,60,60,2,Folegatti,42.41167466,0.91081252,max
91,60,60,2,Folegatti,40.27345757,1.008982978,max
60,60,60,3,GEPEMA,42.41563409,0.765080597,max
61,60,60,3,GEPEMA,42.41547118,0.776441303,max
63,60,60,3,GEPEMA,42.84398894,0.830270937,max
66,60,60,3,GEPEMA,40.27325431,0.849682754,max
67,60,60,3,GEPEMA,41.9869089,0.781793431,max
68,60,60,3,GEPEMA,41.55849692,0.790080822,max
69,60,60,3,GEPEMA,42.41534969,0.807688019,max
70,60,60,1,GEPEMA,41.98577519,0.769874276,max
71,60,60,1,GEPEMA,42.41526091,0.772266067,max
72,60,60,1,GEPEMA,41.55866227,0.824512772,max
73,60,60,4,GEPEMA,42.84403635,0.812929587,max
76,60,60,4,GEPEMA,42.41534597,0.773460018,max
77,60,60,4,GEPEMA,42.84305354,0.742709663,max
80,60,60,4,GEPEMA,41.98711403,0.819890346,max
81,60,60,4,GEPEMA,42.41516501,0.739050711,max
82,60,60,4,GEPEMA,41.13019493,0.814091995,max
83,60,60,4,GEPEMA,41.55864038,0.78594296,max
84,60,60,4,GEPEMA,43.27270854,0.787717758,max
86,60,60,4,GEPEMA,42.84395339,0.782979903,max
87,60,60,4,GEPEMA,42.843927,0.768078448,max
88,60,60,4,GEPEMA,41.55868669,0.804782879,max
89,60,60,2,GEPEMA,42.41533449,0.836006798,max
90,60,60,2,GEPEMA,42.41561932,0.755446843,max
91,60,60,2,GEPEMA,40.70183864,0.834288215,max
